City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
373,san policarpo,12.1791,125.5072,299.29,26.140000000000043,87,94,5.48,PH,1674818774
374,madimba,-10.4,40.3333,302.37,29.220000000000027,71,100,6.16,TZ,1674818774
375,vila do maio,15.1333,-23.2167,300.59,27.439999999999998,76,53,5.35,CV,1674818775
376,rocha,-34.4833,-54.3333,297.75,24.600000000000023,74,5,3.42,UY,1674818775
377,gavle,60.6745,17.1417,272.23,-0.9199999999999591,82,34,0.45,SE,1674818776
378,sampit,-2.5333,112.95,297.48,24.33000000000004,95,100,1.15,ID,1674818776
379,buin,-33.7333,-70.75,293.56,20.410000000000025,41,0,1.12,CL,1674818776
380,colombo,6.9319,79.8478,302.12,28.970000000000027,72,94,5.8,LK,1674818645
381,haines junction,60.7522,-137.5108,265.25,-7.899999999999977,93,99,1.61,CA,1674818778
382,rudnichnyy,59.617,52.4703,272.6,-0.5499999999999545,98,100,2.85,RU,1674818778
383,gazanjyk,39.2446,55.5154,278.31,5.160000000000025,36,0,5.2,TM,1674818779
384,kedougou,12.5579,-12.1743,307.79,34.64000000000004,11,62,4.29,SN,1674818779
385,road town,18.4167,-64.6167,297.17,24.02000000000004,88,75,3.09,VG,1674818779
386,goderich,43.7501,-81.7165,272.54,-0.6099999999999568,80,100,5.66,CA,1674818780
387,bandarbeyla,9.4942,50.8122,298.81,25.660000000000025,65,54,6.49,SO,1674818780
388,gornyak,50.9942,81.4661,261.95,-11.199999999999989,76,6,6.69,RU,1674818781
389,lompoc,34.6391,-120.4579,285.33,12.180000000000007,81,0,5.81,US,1674818781
390,cherkasskoye,52.4333,47.2167,267.05,-6.099999999999966,86,100,2.99,RU,1674818781
391,stavelot,50.393,5.9343,275.73,2.580000000000041,94,100,3.63,BE,1674818782
392,hakkari,37.5833,44.1667,275.03,1.8799999999999955,38,20,2.57,TR,1674818782
393,karratha,-20.7377,116.8463,303.24,30.090000000000032,68,70,5.04,AU,1674818783
394,bani,18.2833,-70.3333,295.29,22.140000000000043,78,1,3.83,DO,1674818783
395,hami,42.8,93.45,267.32,-5.829999999999984,29,100,2.48,CN,1674818561
396,ostrovnoy,68.0531,39.5131,266.8,-6.349999999999966,93,89,7.18,RU,1674818784
